Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,30p,C1562
"C10, C12, C13, C15, C3",0402,5,1u,C52923
"C11, C14, C16, C17, C4, C5, C6, C7, C8, C9",0402,10,100n,C1525
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D5, D6, D7, D8, D9",D_SOD-123-minimal,44,D_45deg,
F1,0402,1,700mA,C914086
FB1,0402,1,100 Ohm @ 100 MHz,C85812
J1,USB_C_Receptacle_GCT_USB4110,1,USB_C_Receptacle_USB2.0,C9002
"J2, J3",JST_GH_SM10B-GHS-TB_1x10-1MP_P1.25mm_Horizontal,2,Conn_01x10,C2683602
"MX1, MX10, MX11, MX12, MX13, MX14, MX15, MX16, MX17, MX18, MX19, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX26, MX27, MX28, MX29, MX3, MX30, MX31, MX32, MX33, MX34, MX35, MX36, MX37, MX38, MX39, MX4, MX40, MX41, MX42, MX43, MX44, MX45, MX46, MX5, MX6, MX7, MX8, MX9",SW_MX_1u,46,MX_SW_solder,
"R1, R2",0402,2,22,C25152
R3,0402,1,1k,C106235
"R4, R5",0402,2,5.1k,C25905
"S1, S2",STAB_MX_P_2u,2,MX_stab,
"SW72, SW73",SW_SPST_SKQG_WithoutStem,2,SW_Push,C115351
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias,1,RP2040,C2040
U3,SOT-23-6,1,USBLC6-2SC6,C558442
U4,TSOT-23,1,3.3V Fixed Regulator,C150715
U5,USON-8_1.5x1.5mm_P0.45mm,1,ZD25D40CNJGR,C3646778
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz Crystal 3225,C9002
